Year,Brand,Category,Region,Price (USD),Sales Volume,Revenue (USD),Customer Age Group,Customer Gender,Net Worth (USD),GDP per Capita,Inflation Rate (%),Income Level,Social Media Likes,Social Media Shares,Social Media Mentions,Sentiment Score
2023,Dior,Bags,North America,4952.3,302,1495594.6,35-44,Male,4089872.64,65000,3.5,High,6348,1815,1984,0.62
2022,Chanel,Bags,Australia,1899.52,120,227942.4,35-44,Female,1425886.19,55000,2.0,High,6636,1866,1324,0.98
2018,Rolex,Shoes,South America,2872.36,496,1424690.56,45-54,Non-binary,634442.25,12000,5.5,Medium,25980,2986,1461,0.98
2022,Dior,Accessories,South America,1847.07,401,740675.07,35-44,Female,3217862.05,12000,5.5,Medium,37365,1094,607,0.76
2018,Gucci,Perfumes,North America,474.69,249,118197.81,35-44,Male,2513027.85,65000,3.5,High,7040,666,1691,0.92
2020,Chanel,Shoes,North America,1593.78,437,696481.86,45-54,Male,33309.06,65000,3.5,High,33782,979,825,0.52
2021,Chanel,Shoes,North America,1008.37,90,90753.3,25-34,Male,2055424.44,65000,3.5,High,21201,1771,1173,0.7
2022,Louis Vuitton,Bags,Australia,4477.05,482,2157938.1,25-34,Female,1732662.34,55000,2.0,High,18517,2518,1947,0.88
2020,Gucci,Watches,North America,9520.9,44,418919.6,35-44,Female,25802.22,65000,3.5,High,6366,4589,81,0.79
2018,Dior,Shoes,North America,1978.84,434,858816.56,45-54,Female,4783941.6,65000,3.5,High,49018,3102,2473,0.68
2021,Gucci,Bags,North America,2723.67,245,667299.15,25-34,Male,1013323.92,65000,3.5,High,43852,4486,279,0.89
2019,Chanel,Shoes,Europe,2050.29,73,149671.17,18-24,Male,822775.67,45000,2.5,High,18282,409,902,0.86
2023,Gucci,Perfumes,Europe,264.28,334,88269.52,25-34,Female,2914115.79,45000,2.5,High,48870,1545,2338,0.53
2021,Rolex,Accessories,Asia,1063.82,151,160636.82,55+,Male,4396608.41,15000,4.0,Medium,45435,3262,2227,0.6
2020,Dior,Perfumes,Middle East,487.62,354,172617.48,45-54,Non-binary,1486997.45,30000,3.0,High,44741,2888,2990,0.73
2021,Dior,Shoes,Middle East,1373.85,441,605867.85,18-24,Male,37679.45,30000,3.0,High,18887,115,2735,0.6
2022,Louis Vuitton,Accessories,Middle East,316.99,224,71005.76,45-54,Female,3924794.05,30000,3.0,High,16112,3900,259,0.93
2022,Dior,Accessories,Asia,1193.13,144,171810.72,55+,Non-binary,2362210.69,15000,4.0,Medium,29524,2913,1098,0.68
2022,Rolex,Accessories,South America,1169.62,60,70177.2,45-54,Non-binary,17015.42,12000,5.5,Medium,33122,1587,379,0.67
2020,Louis Vuitton,Perfumes,North America,120.18,105,12618.9,55+,Male,4222425.8,65000,3.5,High,26267,899,2683,0.59
2021,Dior,Watches,Asia,14345.7,35,502099.5,25-34,Female,617451.82,15000,4.0,Medium,17479,2849,2021,0.55
2020,Dior,Bags,North America,4360.74,91,396827.34,45-54,Male,1482661.81,65000,3.5,High,28908,2969,1061,0.63
2020,Chanel,Accessories,South America,1494.97,300,448491.0,25-34,Male,4281263.16,12000,5.5,Medium,29116,4954,2386,0.55
2021,Louis Vuitton,Bags,South America,3919.95,408,1599339.6,25-34,Male,3698558.65,12000,5.5,Medium,35342,2842,298,0.86
2020,Louis Vuitton,Shoes,North America,2022.38,335,677497.3,45-54,Non-binary,36110.99,65000,3.5,High,34355,4402,1459,0.81
2023,Gucci,Clothing,North America,960.02,374,359047.48,35-44,Male,8911.82,65000,3.5,High,24721,1444,2956,0.91
2018,Rolex,Perfumes,Asia,109.2,142,15506.4,25-34,Female,503644.91,15000,4.0,Medium,46545,4262,2623,0.89
2019,Chanel,Watches,Australia,16116.23,46,741346.58,45-54,Male,3851091.22,55000,2.0,High,26829,2934,1790,0.59
2022,Dior,Clothing,Asia,1036.68,400,414672.0,18-24,Female,45577.29,15000,4.0,Medium,31161,1367,1191,0.86
2022,Dior,Clothing,Australia,2532.11,448,1134385.28,18-24,Non-binary,34988.13,55000,2.0,High,7836,1248,229,0.56
2023,Louis Vuitton,Perfumes,Europe,358.57,312,111873.84,25-34,Non-binary,4347568.05,45000,2.5,High,27029,126,296,0.98
2020,Dior,Accessories,Middle East,502.28,316,158720.48,45-54,Female,7779.67,30000,3.0,High,30433,1688,2153,0.95
2020,Louis Vuitton,Bags,Australia,4833.19,389,1880110.91,35-44,Male,1504912.94,55000,2.0,High,43617,4776,1241,0.96
2018,Gucci,Perfumes,North America,372.81,162,60395.22,25-34,Non-binary,3289073.17,65000,3.5,High,11798,2056,2001,0.81
2021,Chanel,Clothing,North America,2725.54,436,1188335.44,18-24,Non-binary,3528948.41,65000,3.5,High,40750,1063,1642,0.73
2020,Chanel,Accessories,North America,656.9,413,271299.7,45-54,Non-binary,988504.35,65000,3.5,High,37133,3018,1609,0.66
2021,Louis Vuitton,Bags,South America,4531.68,453,2052851.04,45-54,Female,217693.14,12000,5.5,Medium,49525,1130,1621,0.95
2023,Rolex,Shoes,South America,2480.44,191,473764.04,55+,Female,877018.67,12000,5.5,Medium,13608,1330,601,0.97
2022,Gucci,Bags,North America,2632.83,475,1250594.25,45-54,Female,2252075.39,65000,3.5,High,9321,3993,62,0.69
2018,Gucci,Watches,Australia,22881.63,15,343224.45,35-44,Non-binary,12111.44,55000,2.0,High,41268,1439,860,0.61
2019,Dior,Bags,North America,2826.1,147,415436.7,35-44,Non-binary,3147311.35,65000,3.5,High,37957,1727,1581,0.96
2023,Chanel,Accessories,North America,461.08,478,220396.24,35-44,Male,28925.99,65000,3.5,High,15211,205,57,0.64
2022,Rolex,Clothing,North America,2512.42,162,407012.04,18-24,Female,1514229.81,65000,3.5,High,9476,3755,2305,0.67
2018,Rolex,Watches,Asia,12252.21,25,306305.25,25-34,Non-binary,3615262.08,15000,4.0,Medium,49785,411,832,0.61
2022,Gucci,Clothing,Australia,598.98,461,276129.78,18-24,Male,608163.59,55000,2.0,High,1504,216,1418,0.91
2019,Louis Vuitton,Clothing,Middle East,2284.61,345,788190.45,35-44,Female,1118549.36,30000,3.0,High,7502,2409,2852,0.63
2018,Rolex,Bags,North America,3541.27,203,718877.81,45-54,Female,3679673.27,65000,3.5,High,6117,3706,1131,0.92
2021,Dior,Accessories,North America,1044.93,408,426331.44,55+,Female,8687.59,65000,3.5,High,28839,3331,403,0.7
2018,Gucci,Shoes,North America,1848.59,118,218133.62,45-54,Male,4521620.9,65000,3.5,High,39955,515,1085,0.59
2018,Dior,Watches,North America,21502.73,32,688087.36,45-54,Male,725423.0,65000,3.5,High,9796,4715,1220,0.92
2023,Louis Vuitton,Bags,North America,4632.63,467,2163438.21,35-44,Female,3677594.3,65000,3.5,High,41956,3754,1153,0.92
2018,Dior,Clothing,Middle East,1504.87,486,731366.82,18-24,Female,1433265.18,30000,3.0,High,12490,105,1803,0.61
2023,Rolex,Shoes,Australia,1375.68,285,392068.8,25-34,Female,3633321.72,55000,2.0,High,22588,889,2754,0.52
2021,Louis Vuitton,Accessories,Asia,467.07,297,138719.79,25-34,Non-binary,871281.65,15000,4.0,Medium,24849,2927,2271,0.92
2018,Gucci,Clothing,Europe,1539.05,443,681799.15,45-54,Female,2554871.88,45000,2.5,High,40764,4289,1062,0.92
2019,Rolex,Watches,Europe,7883.68,17,134022.56,45-54,Male,4190832.92,45000,2.5,High,12134,3011,733,0.51
2020,Dior,Clothing,Europe,1567.45,179,280573.55,55+,Male,8907.28,45000,2.5,High,34453,830,2601,0.86
2021,Dior,Shoes,Australia,1282.87,53,67992.11,18-24,Non-binary,1033639.21,55000,2.0,High,1926,1703,1699,0.9
2023,Dior,Perfumes,South America,435.92,409,178291.28,55+,Male,24321.98,12000,5.5,Medium,46468,2809,2264,0.57
2023,Dior,Perfumes,Australia,337.02,471,158736.42,25-34,Non-binary,607818.31,55000,2.0,High,7191,3528,138,0.82
2021,Dior,Bags,Middle East,2242.07,76,170397.32,25-34,Male,1485623.24,30000,3.0,High,18945,666,2141,0.54
2022,Gucci,Perfumes,Australia,109.78,414,45448.92,18-24,Non-binary,4158246.48,55000,2.0,High,18282,4443,2170,0.89
2023,Rolex,Perfumes,South America,277.59,238,66066.42,55+,Female,1619147.07,12000,5.5,Medium,9691,2098,1407,0.58
2020,Chanel,Clothing,Australia,2878.14,450,1295163.0,25-34,Female,1685385.03,55000,2.0,High,29640,1955,2099,0.57
2019,Gucci,Shoes,Middle East,879.28,286,251474.08,35-44,Non-binary,2299132.55,30000,3.0,High,9420,1856,1362,0.83
2023,Gucci,Accessories,Australia,1713.3,313,536262.9,35-44,Non-binary,4327100.34,55000,2.0,High,4614,378,2481,0.75
2019,Louis Vuitton,Perfumes,Asia,104.55,221,23105.55,35-44,Female,608408.92,15000,4.0,Medium,18686,1595,1305,0.69
2023,Rolex,Clothing,North America,2627.03,489,1284617.67,25-34,Female,25852.0,65000,3.5,High,7572,4660,423,0.89
2018,Rolex,Clothing,North America,1265.0,450,569250.0,25-34,Non-binary,1056880.97,65000,3.5,High,30359,2054,121,0.56
2019,Chanel,Clothing,Europe,2525.01,480,1212004.8,45-54,Male,783911.19,45000,2.5,High,7414,2192,1656,0.85
2020,Rolex,Shoes,Middle East,2211.2,475,1050320.0,18-24,Non-binary,11802.38,30000,3.0,High,25174,3139,2758,0.78
2019,Gucci,Perfumes,Asia,397.04,60,23822.4,55+,Male,1804349.07,15000,4.0,Medium,36601,1992,2509,0.84
2022,Chanel,Shoes,Europe,2935.68,203,595943.04,35-44,Male,2514786.4,45000,2.5,High,40815,4842,1190,0.68
2019,Dior,Shoes,South America,1085.52,319,346280.88,45-54,Male,4917205.06,12000,5.5,Medium,13565,1012,1322,0.58
2021,Rolex,Bags,Middle East,2025.36,175,354438.0,18-24,Male,640004.03,30000,3.0,High,13730,1534,2825,0.54
2021,Dior,Watches,Asia,10521.33,7,73649.31,25-34,Non-binary,4310652.62,15000,4.0,Medium,26210,2126,1154,0.87
2022,Gucci,Bags,Australia,2388.31,423,1010255.13,45-54,Male,433147.83,55000,2.0,High,19043,4968,1443,0.58
2020,Chanel,Bags,Middle East,3624.53,405,1467934.65,35-44,Female,3114482.92,30000,3.0,High,9904,1959,949,0.63
2023,Dior,Watches,North America,12352.74,35,432345.9,55+,Male,46629.18,65000,3.5,High,21794,3959,2467,0.81
2021,Rolex,Perfumes,South America,214.58,407,87334.06,25-34,Non-binary,4629688.71,12000,5.5,Medium,17818,785,1569,0.7
2020,Dior,Bags,North America,2314.23,307,710468.61,25-34,Male,14204.43,65000,3.5,High,34712,3972,1800,0.86
2023,Dior,Accessories,Asia,1183.63,136,160973.68,25-34,Non-binary,4898432.21,15000,4.0,Medium,6690,4440,2634,0.99
2019,Dior,Watches,Asia,10101.03,44,444445.32,18-24,Non-binary,4367667.23,15000,4.0,Medium,14075,248,1452,0.96
2022,Chanel,Shoes,North America,2171.75,121,262781.75,35-44,Female,249492.01,65000,3.5,High,17492,557,2922,0.54
2022,Rolex,Clothing,Middle East,1855.91,446,827735.86,18-24,Non-binary,557597.5,30000,3.0,High,6413,153,2118,0.92
2019,Gucci,Accessories,South America,586.36,280,164180.8,55+,Male,997534.7,12000,5.5,Medium,27771,2320,2534,0.9
2021,Rolex,Watches,North America,22419.23,20,448384.6,55+,Male,36584.08,65000,3.5,High,49415,4231,1799,0.67
2019,Gucci,Perfumes,Australia,288.1,72,20743.2,35-44,Male,26887.45,55000,2.0,High,5570,1427,1757,0.75
2018,Louis Vuitton,Bags,North America,4775.2,334,1594916.8,35-44,Female,8915.16,65000,3.5,High,39670,2156,937,0.77
2019,Rolex,Shoes,Europe,2649.31,149,394747.19,55+,Female,47809.75,45000,2.5,High,4260,3971,1610,0.58
2018,Gucci,Bags,Asia,2025.08,148,299711.84,55+,Non-binary,1548067.93,15000,4.0,Medium,13355,2086,1982,0.84
2019,Rolex,Accessories,Asia,821.14,232,190504.48,45-54,Non-binary,2925065.09,15000,4.0,Medium,3418,2745,1863,0.88
2019,Dior,Perfumes,Australia,406.76,93,37828.68,55+,Non-binary,182031.18,55000,2.0,High,36223,3076,258,0.7
2022,Dior,Perfumes,Europe,461.81,319,147317.39,18-24,Non-binary,17560.78,45000,2.5,High,21076,4766,760,0.68
2018,Rolex,Shoes,Europe,2655.18,319,847002.42,55+,Non-binary,4818729.99,45000,2.5,High,27386,4952,1035,0.64
2020,Chanel,Bags,Australia,3861.23,158,610074.34,25-34,Male,2833476.34,55000,2.0,High,14710,4234,384,0.54
2023,Dior,Clothing,Asia,1389.22,193,268119.46,35-44,Male,4151317.17,15000,4.0,Medium,34485,2729,70,0.87
2023,Chanel,Clothing,Europe,2530.5,498,1260189.0,18-24,Non-binary,22491.35,45000,2.5,High,7191,1984,1326,0.52
2022,Rolex,Bags,Middle East,2168.27,298,646144.46,45-54,Non-binary,3261813.02,30000,3.0,High,18494,898,1724,0.55
2018,Chanel,Clothing,Australia,2722.34,260,707808.4,35-44,Non-binary,7306.95,55000,2.0,High,2260,2081,1801,0.67
2020,Dior,Accessories,North America,1844.01,292,538450.92,55+,Non-binary,29539.08,65000,3.5,High,28576,2128,2058,0.92
2018,Louis Vuitton,Accessories,Europe,508.85,361,183694.85,25-34,Male,8768.03,45000,2.5,High,26082,3527,2183,0.82
2022,Chanel,Bags,Europe,2746.11,326,895231.86,18-24,Female,4177992.03,45000,2.5,High,20680,3104,2716,0.65
2021,Chanel,Perfumes,North America,288.31,429,123684.99,45-54,Non-binary,2615839.0,65000,3.5,High,45900,4280,308,0.82
2020,Gucci,Perfumes,North America,406.28,85,34533.8,18-24,Male,23033.73,65000,3.5,High,20560,435,2884,0.67
2021,Dior,Watches,Middle East,19525.66,30,585769.8,55+,Non-binary,119003.95,30000,3.0,High,40053,2097,205,0.69
2022,Louis Vuitton,Watches,Asia,19733.0,12,236796.0,25-34,Male,1229190.42,15000,4.0,Medium,32714,4255,2179,0.84
2019,Dior,Bags,South America,1916.55,215,412058.25,18-24,Non-binary,22092.21,12000,5.5,Medium,49482,3647,1400,0.91
2022,Chanel,Clothing,Australia,2652.78,387,1026625.86,55+,Non-binary,3469486.23,55000,2.0,High,11050,1428,1783,0.51
2019,Chanel,Clothing,Europe,633.19,499,315961.81,45-54,Female,2105624.77,45000,2.5,High,19539,4630,1314,0.76
2019,Chanel,Shoes,Europe,2770.52,415,1149765.8,55+,Female,3408899.41,45000,2.5,High,36001,693,1680,0.62
2022,Louis Vuitton,Watches,North America,13719.26,43,589928.18,55+,Non-binary,2238693.43,65000,3.5,High,16103,3628,1996,0.75
2023,Louis Vuitton,Accessories,North America,1487.53,136,202304.08,18-24,Female,46406.76,65000,3.5,High,45827,2343,639,0.89
2022,Chanel,Clothing,Middle East,522.41,255,133214.55,25-34,Female,3380181.63,30000,3.0,High,1546,3612,2975,0.99
2023,Dior,Perfumes,Europe,195.0,299,58305.0,55+,Male,885941.24,45000,2.5,High,38393,3709,1079,0.65
2018,Louis Vuitton,Shoes,South America,1849.13,167,308804.71,35-44,Male,4950301.45,12000,5.5,Medium,20046,1150,1037,0.68
2023,Louis Vuitton,Perfumes,Australia,308.49,340,104886.6,35-44,Male,3861685.84,55000,2.0,High,22552,1440,513,0.82
2023,Dior,Accessories,Europe,1860.2,219,407383.8,25-34,Non-binary,26059.51,45000,2.5,High,29081,1253,1840,0.62
2022,Dior,Clothing,North America,2376.97,183,434985.51,45-54,Non-binary,368868.04,65000,3.5,High,29704,3289,2352,0.96
2021,Gucci,Shoes,Australia,810.98,365,296007.7,35-44,Male,2098776.94,55000,2.0,High,39749,4065,2071,0.86
2021,Gucci,Clothing,South America,2673.07,355,948939.85,25-34,Male,1199506.06,12000,5.5,Medium,46521,2273,1271,0.57
2018,Chanel,Watches,North America,5931.29,23,136419.67,25-34,Female,3326970.71,65000,3.5,High,14355,839,2256,0.88
2020,Dior,Shoes,North America,2810.01,449,1261694.49,18-24,Female,3755650.09,65000,3.5,High,11933,2447,253,0.6
2022,Chanel,Perfumes,Middle East,354.09,494,174920.46,55+,Male,3716260.42,30000,3.0,High,39173,2396,462,0.6
2021,Louis Vuitton,Watches,South America,7372.6,35,258041.0,55+,Male,4646593.91,12000,5.5,Medium,3770,3396,1860,0.89
2022,Chanel,Accessories,Middle East,1884.27,477,898796.79,55+,Male,3993849.9,30000,3.0,High,49925,2313,2001,0.5
2021,Louis Vuitton,Watches,South America,20801.49,26,540838.74,35-44,Non-binary,3077982.33,12000,5.5,Medium,16714,3730,1794,0.65
2021,Chanel,Watches,Middle East,16537.24,7,115760.68,55+,Female,1642718.7,30000,3.0,High,30625,3800,2281,0.73
2019,Gucci,Shoes,Australia,805.34,52,41877.68,18-24,Female,2680839.8,55000,2.0,High,22249,988,865,0.82
2021,Dior,Accessories,Australia,1617.23,328,530451.44,35-44,Male,740842.3,55000,2.0,High,45241,2464,555,0.97
2018,Gucci,Watches,Asia,15879.42,39,619297.38,55+,Female,419536.66,15000,4.0,Medium,11768,552,1939,0.78
2018,Dior,Clothing,Europe,612.86,54,33094.44,45-54,Female,5267.01,45000,2.5,High,40954,4503,1778,0.56
2020,Chanel,Shoes,Australia,2518.67,434,1093102.78,55+,Female,2815545.22,55000,2.0,High,36281,916,1176,0.91
2023,Dior,Bags,Middle East,4028.45,247,995027.15,18-24,Male,3531256.96,30000,3.0,High,44467,4080,346,0.53
2020,Louis Vuitton,Watches,Australia,8783.15,48,421591.2,45-54,Male,12981.58,55000,2.0,High,16508,420,2083,0.51
2021,Louis Vuitton,Shoes,Asia,2812.35,76,213738.6,18-24,Male,3405596.0,15000,4.0,Medium,23738,1444,2071,0.54
2021,Louis Vuitton,Accessories,South America,1907.08,431,821951.48,55+,Female,4841469.63,12000,5.5,Medium,17863,379,80,0.81
2020,Dior,Clothing,Asia,725.66,279,202459.14,35-44,Female,3639300.18,15000,4.0,Medium,45695,544,2921,0.71
2021,Dior,Shoes,Australia,1526.4,193,294595.2,25-34,Female,4950464.41,55000,2.0,High,14499,844,1883,0.81
2023,Chanel,Watches,Europe,12712.01,17,216104.17,35-44,Non-binary,4784607.67,45000,2.5,High,37053,515,2578,0.66
2020,Louis Vuitton,Accessories,South America,725.1,372,269737.2,45-54,Female,4945663.38,12000,5.5,Medium,9233,3580,2634,0.81
2021,Gucci,Shoes,Australia,2712.57,168,455711.76,18-24,Non-binary,2435062.13,55000,2.0,High,23429,3138,210,0.6
2022,Louis Vuitton,Bags,Asia,3720.15,499,1856354.85,55+,Non-binary,1147541.92,15000,4.0,Medium,5186,343,169,0.89
2019,Gucci,Perfumes,Europe,423.04,318,134526.72,18-24,Female,3350754.86,45000,2.5,High,17926,2612,2791,0.92
2019,Gucci,Accessories,Asia,928.08,255,236660.4,55+,Male,487508.83,15000,4.0,Medium,7494,1579,2416,0.8
2022,Louis Vuitton,Perfumes,Australia,173.76,413,71762.88,25-34,Female,3617170.85,55000,2.0,High,38693,885,344,0.7
2021,Chanel,Clothing,Middle East,1356.18,457,619774.26,25-34,Male,3531874.11,30000,3.0,High,4365,335,2598,0.68
2021,Chanel,Accessories,North America,1134.16,160,181465.6,25-34,Male,4749688.98,65000,3.5,High,4129,4082,165,0.78
2022,Chanel,Clothing,Australia,2801.52,422,1182241.44,55+,Male,4342005.57,55000,2.0,High,41801,957,2237,0.78
2019,Louis Vuitton,Perfumes,Australia,327.11,82,26823.02,25-34,Male,3781901.37,55000,2.0,High,39683,577,2312,0.7
2018,Gucci,Perfumes,Europe,455.41,377,171689.57,35-44,Male,3604289.97,45000,2.5,High,4314,4883,795,0.81
2023,Chanel,Bags,Asia,1976.71,92,181857.32,25-34,Non-binary,1038796.02,15000,4.0,Medium,27396,3286,2025,0.87
2023,Rolex,Watches,Middle East,11120.56,12,133446.72,55+,Non-binary,2962779.15,30000,3.0,High,17553,542,1691,0.89
2019,Chanel,Shoes,Europe,2792.68,433,1209230.44,35-44,Non-binary,1987625.65,45000,2.5,High,11360,3913,1612,0.95
2019,Chanel,Accessories,South America,1398.81,372,520357.32,35-44,Female,4684980.96,12000,5.5,Medium,28735,3125,966,0.6
2022,Dior,Accessories,Asia,1132.32,480,543513.6,45-54,Male,3133820.28,15000,4.0,Medium,9370,355,881,0.97
2022,Dior,Watches,South America,18211.1,48,874132.8,18-24,Non-binary,15832.57,12000,5.5,Medium,34726,4313,2112,0.67
2018,Dior,Bags,Europe,3344.15,122,407986.3,45-54,Female,17894.36,45000,2.5,High,9125,4547,2533,0.69
2020,Chanel,Accessories,Australia,1480.3,453,670575.9,45-54,Male,871633.11,55000,2.0,High,38361,3453,736,0.56
2020,Louis Vuitton,Accessories,North America,1594.99,392,625236.08,25-34,Non-binary,4848153.29,65000,3.5,High,29213,1425,1915,0.71
2023,Chanel,Clothing,North America,1642.11,405,665054.55,45-54,Male,4702657.56,65000,3.5,High,24802,3194,2186,0.88
2022,Rolex,Watches,North America,14041.88,36,505507.68,55+,Female,40291.9,65000,3.5,High,40855,4131,1592,0.73
2021,Gucci,Watches,Australia,9208.12,16,147329.92,18-24,Non-binary,5166.13,55000,2.0,High,27588,3666,2821,0.98
2021,Chanel,Clothing,Middle East,606.49,475,288082.75,55+,Male,1657781.08,30000,3.0,High,15324,2261,1776,0.53
2023,Louis Vuitton,Bags,South America,2469.96,122,301335.12,45-54,Non-binary,21009.96,12000,5.5,Medium,49826,1696,1352,0.87
2018,Chanel,Shoes,Asia,2466.9,358,883150.2,18-24,Male,4540154.66,15000,4.0,Medium,15543,4427,1840,0.52
2022,Gucci,Clothing,Australia,2452.82,328,804524.96,55+,Female,4995487.43,55000,2.0,High,20813,1300,643,0.94
2022,Dior,Watches,Asia,8806.91,11,96876.01,55+,Female,49804.37,15000,4.0,Medium,33396,3184,522,0.54
2022,Rolex,Perfumes,North America,358.09,278,99549.02,35-44,Female,41227.76,65000,3.5,High,20003,2379,1332,0.55
2020,Rolex,Accessories,Asia,921.24,327,301245.48,18-24,Male,2746753.57,15000,4.0,Medium,21322,4979,2329,0.59
2018,Dior,Perfumes,North America,255.55,152,38843.6,25-34,Non-binary,2245393.92,65000,3.5,High,9578,3763,392,0.72
2021,Chanel,Accessories,Middle East,1932.11,110,212532.1,35-44,Male,25283.41,30000,3.0,High,45456,1203,1710,0.79
2022,Gucci,Shoes,Europe,2708.45,444,1202551.8,35-44,Female,39787.1,45000,2.5,High,31943,1331,1792,0.53
2020,Rolex,Watches,Australia,9534.52,14,133483.28,25-34,Male,44836.01,55000,2.0,High,28547,1733,2614,1.0
2020,Chanel,Clothing,Australia,1052.13,319,335629.47,35-44,Male,1333948.74,55000,2.0,High,25956,2396,663,0.77
2023,Gucci,Perfumes,Europe,216.3,184,39799.2,18-24,Female,4275313.04,45000,2.5,High,4912,243,497,0.83
2018,Rolex,Accessories,Australia,966.97,396,382920.12,45-54,Female,15907.27,55000,2.0,High,37597,2288,2054,0.62
2018,Gucci,Perfumes,Middle East,123.3,196,24166.8,25-34,Non-binary,4874619.24,30000,3.0,High,31359,913,1362,0.89
2019,Rolex,Shoes,South America,2263.43,85,192391.55,45-54,Male,45321.77,12000,5.5,Medium,36891,2157,714,0.96
2022,Chanel,Clothing,Middle East,1427.85,423,603980.55,25-34,Male,1780342.31,30000,3.0,High,11348,2989,520,0.94
2022,Gucci,Bags,Middle East,4748.0,381,1808988.0,55+,Female,4614175.47,30000,3.0,High,7532,4525,2879,0.94
2022,Louis Vuitton,Shoes,Europe,2149.85,70,150489.5,18-24,Female,591228.43,45000,2.5,High,40707,1923,2476,0.81
2021,Dior,Clothing,Asia,2569.29,318,817034.22,55+,Female,1189109.97,15000,4.0,Medium,38111,653,2023,0.57
2020,Gucci,Accessories,North America,1574.4,289,455001.6,25-34,Male,999482.24,65000,3.5,High,39035,4628,2575,0.88
2023,Louis Vuitton,Clothing,North America,2884.74,419,1208706.06,35-44,Male,30628.61,65000,3.5,High,47364,3496,2504,0.56
2022,Rolex,Shoes,North America,2084.71,453,944373.63,55+,Female,1235932.28,65000,3.5,High,38206,494,2651,0.86
2023,Gucci,Shoes,Asia,1280.82,368,471341.76,45-54,Male,804814.72,15000,4.0,Medium,34647,3311,1463,0.79
2019,Gucci,Accessories,Europe,307.74,273,84013.02,25-34,Male,40271.09,45000,2.5,High,38825,729,112,0.98
2019,Gucci,Accessories,South America,1233.79,402,495983.58,55+,Female,4290921.57,12000,5.5,Medium,34610,2181,579,0.97
2022,Rolex,Bags,South America,1810.93,325,588552.25,18-24,Male,321447.21,12000,5.5,Medium,16667,3683,978,0.84
2023,Gucci,Perfumes,Australia,212.74,156,33187.44,55+,Non-binary,3255427.23,55000,2.0,High,43585,2897,354,0.61
2021,Gucci,Accessories,North America,1935.2,464,897932.8,45-54,Male,3047263.57,65000,3.5,High,14450,4798,1050,0.83
2019,Dior,Bags,Europe,3866.01,315,1217793.15,18-24,Non-binary,2287728.52,45000,2.5,High,14811,4384,2888,0.97
2023,Louis Vuitton,Accessories,South America,1040.78,202,210237.56,25-34,Non-binary,18804.16,12000,5.5,Medium,45157,1999,497,0.96
2020,Chanel,Accessories,South America,692.9,275,190547.5,45-54,Non-binary,896574.81,12000,5.5,Medium,29835,4790,2502,0.61
2020,Chanel,Shoes,Asia,1381.58,411,567829.38,35-44,Non-binary,4320700.73,15000,4.0,Medium,36933,1003,918,0.66
2022,Dior,Clothing,North America,1175.24,454,533558.96,55+,Male,4103059.57,65000,3.5,High,9913,1054,2606,0.78
2018,Dior,Clothing,Australia,799.63,336,268675.68,35-44,Female,1972132.69,55000,2.0,High,47934,4117,2599,0.57
2021,Dior,Accessories,South America,1270.51,249,316356.99,18-24,Non-binary,31856.23,12000,5.5,Medium,10363,1533,2686,0.71
2018,Dior,Bags,Asia,2230.39,135,301102.65,18-24,Female,4708580.64,15000,4.0,Medium,22640,2904,947,0.54
2023,Rolex,Bags,Asia,4766.64,254,1210726.56,25-34,Female,2312930.28,15000,4.0,Medium,24154,4755,2651,0.61
2020,Chanel,Accessories,Europe,1866.05,298,556082.9,35-44,Female,583694.56,45000,2.5,High,46896,4055,2258,0.65
2022,Dior,Bags,Europe,4862.79,412,2003469.48,18-24,Female,1487469.92,45000,2.5,High,47187,4565,2005,0.5
2018,Dior,Clothing,Middle East,2760.85,237,654321.45,25-34,Male,11364.82,30000,3.0,High,44457,4908,2047,0.5
2021,Louis Vuitton,Clothing,South America,1432.72,207,296573.04,25-34,Male,16158.83,12000,5.5,Medium,1426,294,1041,0.79
2023,Rolex,Bags,Europe,3199.72,358,1145499.76,45-54,Male,3926944.58,45000,2.5,High,27743,203,1784,0.7
2018,Dior,Shoes,Europe,1995.35,86,171600.1,18-24,Male,4646031.45,45000,2.5,High,19963,539,206,0.9
2020,Gucci,Clothing,South America,636.69,464,295424.16,35-44,Male,1502691.35,12000,5.5,Medium,13341,4469,395,0.65
2021,Chanel,Shoes,Europe,2673.08,338,903501.04,35-44,Non-binary,45956.08,45000,2.5,High,35721,3397,2669,0.5
2021,Rolex,Watches,Middle East,7833.6,13,101836.8,35-44,Non-binary,1251346.16,30000,3.0,High,36308,867,2174,1.0
2021,Dior,Accessories,Asia,1369.89,160,219182.4,35-44,Female,1531904.8,15000,4.0,Medium,10987,1094,1879,0.57
2021,Dior,Accessories,South America,1359.35,397,539661.95,45-54,Non-binary,4696351.8,12000,5.5,Medium,3916,3399,2417,0.51
2023,Louis Vuitton,Clothing,Australia,1503.78,82,123309.96,35-44,Non-binary,10770.45,55000,2.0,High,32884,1084,2382,0.95
2019,Chanel,Accessories,Asia,1271.58,478,607815.24,25-34,Female,2864502.2,15000,4.0,Medium,26009,4130,931,0.73
2022,Louis Vuitton,Accessories,Middle East,1314.02,416,546632.32,45-54,Non-binary,4599622.53,30000,3.0,High,48878,1306,592,0.95
